bin,fhit,ebin,cut,mc,rd,,,,,,,,mcmc500,mcrd500,mcrdthres500,mcmc1200,mcrd1200,mcrdthres1200,mcrd1000,mcrdthres1000,rdmc1000,rdmcthres1000
91,0.618,4.25,17.67,18.21,12.32,,,,,,,,17.41 ,17.42 ,17.42 ,17.59,17.54,17.56,18.06,18.27,13.96,13.96
92,0.618,4.5,4.74,4.65,4.12,,,,,,,,4.31 ,4.21 ,4.21 ,4.31,4.45,4.35,4.13,5.04,3.97,3.97
93,0.618,4.75,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
94,0.618,5,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
95,0.618,5.25,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
96,0.74,2.5,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
97,0.74,2.75,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
98,0.74,3,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
99,0.74,3.25,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
100,0.74,3.5,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
101,0.74,3.75,0,0,0,,,,,,,,4.68 ,0.00 ,0.00 ,4.99,4.48,4.5,4.39,0,4.45,4.45
102,0.74,4,17.12,18.31,16.89,,,,,,,,17.40 ,17.78 ,17.78 ,17.66,17.76,17.77,17.81,17.48,15.68,15.68
103,0.74,4.25,16.69,17.38,14.83,,,,,,,,15.29 ,17.26 ,17.26 ,15.2,17.2,17.2,16.69,17.29,15.24,15.24
104,0.74,4.5,0,0,0,,,,,,,,6.73 ,7.21 ,7.21 ,6.6,7.3,7.3,6.57,7.56,6.33,6.33
105,0.74,4.75,0,0,2.6,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
106,0.74,5,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
107,0.74,5.25,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
108,0.84,2.5,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
109,0.84,2.75,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
110,0.84,3,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
111,0.84,3.25,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
112,0.84,3.5,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
113,0.84,3.75,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
114,0.84,4,0,0,0,,,,,,,,5.06 ,5.17 ,5.17 ,5.27,5.22,5.22,5.24,0,5.21,5.21
115,0.84,4.25,14.9,16.09,11.01,,,,,,,,15.85 ,15.45 ,15.45 ,15.86,15.7,15.7,15.12,15.42,8.95,8.95
116,0.84,4.5,15,15.09,9.78,,,,,,,,15.13 ,15.11 ,15.11 ,14.95,15.06,15.06,15.29,15.31,12.61,12.61
117,0.84,4.75,8.5,8.8,6.29,,,,,,,,8.72 ,0.00 ,8.40 ,8.23,8.33,8.35,8.38,8.36,6.47,6.47
118,0.84,5,3.88,3.21,0,,,,,,,,2.87 ,3.32 ,3.32 ,2.73,2.99,2.99,2.99,3.05,0,0
119,0.84,5.25,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
